Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
1,1,51.0,0,0,3945,1.0,1,1,1,2.0,5,4.0,4,4,4,4,5,4,3,0,0.0,1
0,1,41.0,0,0,3230,4.0,4,4,4,4.0,4,4.0,5,5,4,5,3,5,3,25,20.0,1
1,1,18.0,0,0,2720,1.0,1,1,1,4.0,4,4.0,5,1,5,3,4,2,4,133,122.0,1
1,1,50.0,0,0,453,2.0,1,1,1,4.0,4,3.0,2,2,2,2,3,2,2,7,17.0,0
0,1,33.0,0,1,77,4.0,1,2,2,4.0,5,4.0,4,1,4,5,3,1,4,0,0.0,1
1,1,51.0,0,0,3314,3.0,3,3,3,2.0,2,3.0,5,5,5,5,2,5,5,0,0.0,1
1,1,60.0,0,0,2342,1.0,1,1,1,4.0,4,4.0,4,4,4,4,4,4,5,1,0.0,1
0,1,30.0,0,2,515,5.0,4,4,4,5.0,5,5.0,5,2,3,1,5,3,5,0,0.0,1
0,1,49.0,0,2,589,5.0,2,2,2,4.0,4,1.0,4,4,5,4,5,4,2,0,0.0,1
1,1,52.0,0,0,1851,2.0,2,2,2,2.0,5,5.0,3,3,3,3,3,3,5,20,3.0,1
0,1,13.0,1,1,2762,4.0,4,4,4,4.0,4,4.0,2,4,4,4,4,3,4,3,0.0,1
0,1,41.0,1,1,224,5.0,4,0,4,2.0,0,4.0,2,1,5,5,3,1,2,0,0.0,1
1,1,43.0,0,1,290,4.0,1,1,1,4.0,4,4.0,4,2,3,1,1,4,4,0,0.0,1
1,1,41.0,0,0,240,2.0,2,2,2,3.0,4,5.0,4,4,4,4,4,4,4,0,0.0,1
0,1,52.0,0,0,237,1.0,1,1,1,4.0,5,4.0,5,5,5,5,3,5,4,14,15.0,1
1,1,42.0,0,0,3992,4.0,4,4,4,2.0,4,4.0,4,4,5,4,5,4,3,35,18.0,1
1,1,38.0,0,0,2632,3.0,3,3,3,5.0,4,4.0,5,5,5,5,5,5,3,116,87.0,1
0,1,37.0,0,0,2720,2.0,2,2,2,3.0,5,4.0,5,5,5,5,4,5,3,0,9.0,1
1,1,24.0,0,0,1090,2.0,5,5,5,2.0,2,2.0,2,2,3,4,4,3,2,1,5.0,0
1,1,49.0,0,0,3437,1.0,4,1,1,2.0,5,5.0,4,4,5,4,5,4,3,1,0.0,1
0,1,60.0,0,0,444,2.0,2,3,2,5.0,4,5.0,4,4,4,4,4,4,3,0,7.0,1
1,1,8.0,1,1,1107,2.0,4,2,4,1.0,2,1.0,1,4,2,5,4,5,1,0,0.0,0
1,1,43.0,0,0,235,5.0,5,5,5,3.0,5,4.0,4,4,4,4,4,4,3,27,40.0,1
1,1,57.0,0,0,1372,3.0,3,3,3,4.0,4,4.0,4,4,4,4,5,4,3,31,0.0,1
1,1,28.0,0,0,1969,4.0,4,3,4,5.0,5,5.0,5,5,3,4,5,4,5,0,0.0,1
1,1,59.0,1,1,912,5.0,5,5,3,5.0,5,5.0,5,4,3,5,5,4,5,0,0.0,1
1,1,43.0,0,0,3331,1.0,1,1,1,4.0,4,4.0,4,4,4,4,3,4,5,0,0.0,1
0,1,24.0,0,0,2050,5.0,5,5,5,4.0,4,3.0,4,3,4,1,4,5,4,0,0.0,1
1,1,39.0,1,1,479,4.0,4,4,4,5.0,4,5.0,5,1,2,4,2,4,5,40,59.0,1
1,1,33.0,1,1,971,0.0,1,0,3,1.0,0,4.0,1,4,5,4,3,3,1,15,0.0,1
0,1,43.0,0,0,2160,2.0,2,2,2,2.0,4,4.0,4,4,4,4,3,4,5,0,9.0,1
1,1,43.0,1,1,583,5.0,5,5,1,5.0,5,4.0,5,3,4,4,4,4,5,13,0.0,1
0,1,51.0,1,1,2182,1.0,1,2,3,5.0,3,3.0,4,4,2,4,4,4,3,0,2.0,0
1,1,54.0,0,0,2720,4.0,4,2,4,5.0,4,4.0,4,4,5,4,4,4,3,0,0.0,1
0,1,27.0,0,0,1842,4.0,4,4,4,5.0,5,5.0,5,4,2,5,4,5,5,0,0.0,1
1,1,36.0,0,0,3199,4.0,4,4,4,3.0,5,5.0,5,5,5,5,4,5,5,0,34.0,1
1,1,26.0,1,2,605,4.0,4,4,3,2.0,4,1.0,2,5,3,5,3,5,2,0,14.0,0
0,1,57.0,0,0,3355,4.0,4,4,4,3.0,2,5.0,4,4,4,4,2,4,3,1,0.0,1
0,1,39.0,1,1,862,5.0,4,5,3,3.0,5,5.0,3,2,3,4,2,4,3,3,0.0,1
0,1,29.0,0,0,2714,2.0,2,1,2,4.0,4,4.0,4,1,1,3,4,5,4,0,0.0,1
0,1,51.0,0,0,3424,3.0,4,4,4,5.0,3,3.0,3,3,3,3,4,3,4,44,42.0,0
0,1,13.0,1,1,491,3.0,4,1,3,4.0,1,4.0,4,1,3,4,2,4,4,27,65.0,0
1,1,16.0,1,2,541,1.0,5,1,3,5.0,1,5.0,5,1,2,4,3,5,5,1,3.0,0
1,1,33.0,0,0,2713,3.0,3,3,3,4.0,4,5.0,4,3,3,5,3,5,4,0,8.0,1
0,1,67.0,1,1,607,2.0,4,2,2,3.0,4,4.0,2,2,2,2,3,2,3,2,0.0,0
0,1,40.0,0,2,190,2.0,3,3,3,2.0,2,2.0,2,2,5,3,4,3,2,0,0.0,1
1,0,13.0,0,1,1235,4.0,4,4,3,2.0,4,4.0,2,5,3,5,2,5,2,0,9.0,1
0,1,43.0,0,0,762,1.0,1,5,1,5.0,4,5.0,5,5,5,5,4,5,3,10,0.0,1
0,1,43.0,1,1,1120,4.0,5,4,2,5.0,4,5.0,5,4,3,5,5,4,5,0,0.0,1
1,1,29.0,0,0,1774,5.0,5,5,5,4.0,4,4.0,4,3,3,4,3,4,4,0,0.0,1
0,1,24.0,0,0,731,2.0,2,2,2,5.0,5,5.0,5,4,5,5,3,4,5,0,0.0,1
0,1,58.0,0,0,731,2.0,2,2,2,5.0,4,4.0,4,4,4,4,4,4,5,0,0.0,1
0,1,59.0,0,0,3887,3.0,4,4,4,3.0,1,1.0,4,4,4,4,5,4,5,0,0.0,1
0,1,34.0,1,1,929,2.0,1,1,3,1.0,1,4.0,1,4,3,2,1,2,1,0,0.0,0
1,1,37.0,0,1,397,5.0,4,4,4,5.0,5,5.0,5,5,1,3,1,1,5,0,0.0,1
0,1,42.0,0,0,1804,5.0,5,5,5,3.0,5,4.0,5,5,5,5,5,5,5,21,2.0,1
0,1,39.0,0,0,1818,2.0,2,2,2,2.0,5,3.0,5,5,5,5,1,5,5,0,6.0,1
1,1,26.0,0,0,515,2.0,2,2,2,4.0,4,4.0,4,3,4,5,5,4,4,0,0.0,1
0,0,23.0,0,1,227,4.0,4,4,3,2.0,4,2.0,2,5,3,5,4,5,2,92,86.0,1
0,1,51.0,0,0,2049,1.0,1,1,1,4.0,4,5.0,4,4,4,4,5,4,4,0,0.0,1
1,0,40.0,0,1,1189,3.0,2,2,3,3.0,3,2.0,3,2,3,1,4,3,3,0,0.0,0
1,1,45.0,0,0,2475,4.0,4,4,4,2.0,2,2.0,5,4,4,3,2,1,2,35,176.0,1
1,0,26.0,0,0,738,5.0,5,5,2,3.0,5,1.0,3,5,4,4,4,4,3,0,13.0,1
0,1,58.0,0,0,3747,1.0,1,1,1,4.0,5,4.0,4,4,4,4,4,4,4,6,0.0,1
1,1,56.0,0,0,588,2.0,2,2,2,4.0,4,5.0,4,4,4,4,3,4,5,0,0.0,1
0,1,57.0,0,0,2913,1.0,1,1,1,2.0,5,4.0,4,4,4,4,3,4,3,57,56.0,1
0,1,41.0,1,1,372,5.0,4,5,2,2.0,5,2.0,2,3,2,5,3,5,2,0,0.0,1
0,1,49.0,0,0,3272,2.0,2,2,2,2.0,4,4.0,4,4,5,4,3,4,4,17,0.0,1
0,1,76.0,0,0,1713,5.0,5,5,5,2.0,2,5.0,5,5,5,5,4,5,4,8,2.0,1
0,1,42.0,1,2,965,3.0,5,3,4,5.0,5,5.0,1,1,3,1,5,1,3,0,0.0,0
0,1,49.0,0,1,764,4.0,3,1,1,1.0,3,4.0,4,4,4,4,1,4,2,45,32.0,1
1,1,22.0,0,1,591,5.0,1,5,5,5.0,4,5.0,5,5,5,1,1,1,5,0,0.0,1
0,1,44.0,0,0,438,1.0,1,1,1,4.0,4,4.0,4,4,4,4,3,4,3,0,0.0,1
1,1,45.0,0,0,1572,4.0,4,4,4,5.0,4,4.0,4,4,4,4,5,4,4,0,0.0,1
1,1,44.0,0,0,3722,2.0,2,2,2,2.0,4,4.0,5,5,5,5,3,5,4,0,0.0,1
0,1,54.0,0,0,436,4.0,4,4,4,4.0,4,5.0,5,5,5,5,3,5,5,0,0.0,1
0,1,75.0,0,2,175,4.0,2,2,2,5.0,4,1.0,4,4,4,4,3,4,5,0,0.0,1
0,1,28.0,0,0,2064,4.0,4,4,4,4.0,4,4.0,4,4,3,5,5,5,4,0,0.0,1
0,1,57.0,0,0,107,2.0,2,2,2,4.0,1,5.0,4,4,4,3,3,4,2,0,0.0,1
1,1,8.0,1,0,868,4.0,1,4,3,1.0,4,1.0,1,3,5,3,4,4,1,6,0.0,1
1,0,24.0,0,0,432,5.0,5,5,3,3.0,5,3.0,3,3,2,5,4,4,3,0,0.0,1
1,1,52.0,1,1,641,2.0,2,2,3,3.0,2,2.0,3,3,4,4,4,3,3,0,0.0,0
0,0,20.0,0,1,127,3.0,0,5,4,4.0,5,4.0,4,1,3,3,5,4,4,0,0.0,1
0,1,44.0,0,0,2847,3.0,3,3,3,3.0,5,5.0,5,5,5,5,3,5,5,0,7.0,1
0,1,37.0,0,1,421,4.0,2,2,2,4.0,4,4.0,4,4,3,4,3,5,4,0,0.0,1
1,1,26.0,0,0,2329,4.0,4,4,4,4.0,4,4.0,4,4,2,5,5,4,4,22,5.0,1
0,1,34.0,0,0,1190,3.0,4,4,4,2.0,3,3.0,4,4,4,4,2,4,3,1,20.0,1
1,1,47.0,0,0,2373,5.0,3,5,5,4.0,4,5.0,4,4,5,4,5,4,5,0,0.0,1
0,1,41.0,0,0,907,3.0,3,3,3,4.0,5,5.0,4,4,4,4,5,4,4,0,8.0,1
1,1,34.0,0,2,420,3.0,3,3,3,4.0,3,3.0,5,5,2,3,3,2,3,177,167.0,1
0,1,41.0,0,0,419,3.0,5,3,3,1.0,4,1.0,4,4,4,4,2,4,2,0,0.0,1
1,1,39.0,0,0,3913,5.0,5,5,5,5.0,4,5.0,3,3,4,3,3,3,3,0,0.0,1
1,1,40.0,0,0,3925,1.0,1,1,1,5.0,4,4.0,2,2,2,2,3,2,5,0,0.0,1
0,1,50.0,1,1,2465,1.0,5,1,3,1.0,4,4.0,3,5,4,4,4,3,4,0,24.0,0
1,1,59.0,0,0,3180,5.0,5,5,5,4.0,4,4.0,5,5,5,5,4,5,5,0,0.0,1
0,0,26.0,0,1,1237,4.0,4,4,5,4.0,4,4.0,4,2,5,2,5,4,4,36,44.0,1
1,1,30.0,0,0,2009,4.0,4,4,4,4.0,4,4.0,4,4,2,1,3,1,4,0,0.0,1
0,1,25.0,0,0,3569,1.0,1,1,1,2.0,2,2.0,2,4,4,5,4,5,2,3,10.0,1
1,1,53.0,0,0,2418,4.0,4,3,4,5.0,5,5.0,4,4,4,4,3,4,4,0,0.0,1
1,1,43.0,0,0,1080,5.0,5,5,5,5.0,5,5.0,2,2,2,2,5,2,3,65,103.0,1
1,1,51.0,0,0,594,3.0,3,3,3,2.0,5,4.0,4,4,4,4,4,4,4,0,0.0,1
1,1,28.0,0,0,1814,3.0,3,3,3,5.0,5,5.0,5,5,5,4,4,4,5,44,31.0,1
0,1,25.0,0,0,2734,5.0,5,4,5,5.0,4,5.0,5,4,2,5,4,5,5,0,0.0,1
0,0,22.0,0,1,141,4.0,4,4,2,3.0,4,5.0,3,5,3,3,3,5,3,0,0.0,1
1,1,13.0,1,1,788,4.0,5,3,3,1.0,3,1.0,1,5,4,5,5,4,1,0,0.0,1
1,1,52.0,0,0,3811,0.0,0,0,4,5.0,4,4.0,3,3,3,3,3,3,4,0,0.0,1
1,1,51.0,0,0,1276,2.0,2,2,2,3.0,4,4.0,4,4,4,4,5,4,3,0,0.0,1
0,1,27.0,0,0,2717,5.0,5,4,5,4.0,5,4.0,4,2,2,5,4,4,4,0,0.0,1
1,1,42.0,0,0,297,0.0,0,0,4,5.0,4,4.0,2,2,2,2,4,2,5,19,21.0,1
0,1,32.0,1,1,717,2.0,5,2,2,2.0,4,4.0,2,1,4,3,3,3,3,119,142.0,0
0,1,25.0,0,0,308,1.0,2,2,2,1.0,1,1.0,1,3,1,4,3,4,1,11,17.0,0
1,1,33.0,0,0,1846,3.0,3,3,3,5.0,5,5.0,5,4,2,3,3,4,5,0,0.0,1
1,1,60.0,0,1,483,4.0,3,3,3,4.0,4,4.0,4,3,2,4,2,2,4,0,6.0,1
0,1,45.0,0,1,1024,3.0,4,4,4,1.0,4,5.0,3,3,3,3,5,3,3,0,15.0,1
1,1,37.0,1,2,228,2.0,2,2,4,4.0,2,4.0,4,3,2,4,2,3,4,9,1.0,0
0,1,53.0,0,0,2475,5.0,5,5,5,2.0,5,4.0,4,4,4,4,5,4,4,2,0.0,1
0,0,45.0,0,0,622,4.0,4,4,3,3.0,4,3.0,3,4,5,4,5,4,3,2,0.0,1
1,0,21.0,0,0,1608,0.0,0,1,3,3.0,1,3.0,3,4,3,4,4,5,3,4,2.0,1
1,1,40.0,1,1,589,5.0,5,5,2,3.0,5,3.0,3,5,3,3,4,1,3,0,0.0,1
1,1,50.0,0,0,519,5.0,5,5,5,4.0,4,4.0,4,4,4,4,5,4,5,1,0.0,1
0,1,49.0,0,0,2125,4.0,4,4,4,2.0,5,4.0,4,4,4,4,5,4,4,0,0.0,1
0,1,44.0,0,0,237,3.0,1,1,1,2.0,5,4.0,4,4,4,4,3,4,4,7,4.0,1
0,1,63.0,0,0,3828,0.0,0,0,1,5.0,5,4.0,1,1,1,1,5,1,3,0,0.0,1
0,1,55.0,0,0,2565,4.0,4,4,4,4.0,5,4.0,5,5,5,5,5,5,5,0,0.0,1
